"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Jersey","309","0","30","0","Community transmission","1"
"Guernsey","252","0","13","0","Community transmission","34"
"Faroe Islands","187","0","0","0","Pending","43"
"Gibraltar","174","1","0","0","Clusters of cases","0"
"Greenland","13","0","0","0","Pending","8"
"South-East Asia","","","","","",""
"India","236 657","9 887","6 642","294","Clusters of cases","0"
"Bangladesh","60 391","2 828","811","30","Community transmission","0"
"Indonesia","29 521","703","1 770","49","Community transmission","0"
"Thailand","3 104","2","58","0","Clusters of cases","0"
"Nepal","2 912","278","11","1","Sporadic cases","0"
"Maldives","1 883","11","7","0","Clusters of cases","0"
"Sri Lanka","1 801","4","11","0","Clusters of cases","0"
"Myanmar","236","0","6","0","Clusters of cases","1"
"Bhutan","48","1","0","0","Sporadic cases","0"
"Timor-Leste","24","0","0","0","Clusters of cases","43"
"Western Pacific","","","","","",""
"China","84 620","6","4 645","0","Clusters of cases","0"
"Singapore","37 183","261","24","0","Clusters of cases","0"
"Philippines","20 626","244","987","3","Community transmission","0"
"Japan","17 103","39","914","7","Clusters of cases","0"
"Republic of Korea","11 719","51","273","0","Clusters of cases","0"
"Malaysia","8 266","19","116","1","Clusters of cases","0"
