"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","19 665"
"Zhejiang","954"
"Guangdong","944"
"Henan","851"
"Hunan","711"
"Anhui","591"
"Jiangxi","600"
"Chongqing","389"
"Jiangsu","373"
"Sichuan","321"
"Shandong","343"
"Beijing","274"
"Shanghai","254"
"Fujian","215"
"Heilongjiang","227"
"Shaanxi","173"
"Guangxi","168"
"Hebei","157"
"Yunnan","128"
"Hainan","100"
"Liaoning","89"
"Shanxi","90"
"Tianjin","70"
"Gansu","62"
"Guizhou","69"
"Jilin","59"
"Inner Mongolia","46"
"Ningxia","40"
"Xinjiang","36"
"Hong Kong SAR","21"
"Qinghai","18"
"Taipei and environs","11"
"Macao SAR","10"
"Xizang","1"
"Total","28 060"
