"V1","V2","V3","V4","V5","V6","V7"
"Niger","2","1","0","0","Imported cases only","0"
"Zimbabwe","2","0","1","1","Imported cases only","2"
"Eritrea","1","0","0","0","Imported cases only","2"
"Gambia","1","0","0","0","Imported cases only","6"
"Mozambique","1","0","0","0","Imported cases only","1"
"Territories**","","","","","",""
"Réunion","71","7","0","0","Under investigation","0"
"Mayotte","24","10","0","0","Imported cases only","0"
"Subtotal for all","","","","","",""
"","372045","39827","16224","1722","",""
"regions","","","","","",""
"International","","","","","",""
"conveyance","712","0","7","0","Local transmission","8"
"(Diamond Princess)","","","","","",""
"Grand total","372757","39827","16231","1722","",""
