"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Comoros","8","0","1","","0","Pending","2"
"Mauritania","8","0","1","","0","Sporadic cases","8"
"Territoriesii","","","","","","",""
"Mayotte","890","36","11","","1","Clusters of cases","0"
"Réunion","430","3","0","","0","Clusters of cases","0"
"Americas","","","","","","",""
"United States of America","1 245 874","30 303","69 889","","2743","Community transmission","0"
"Brazil","135 106","9888","9146","","610","Community transmission","0"
"Canada","65 399","1504","4471","","191","Community transmission","0"
"Peru","58 526","3709","1627","","94","Community transmission","0"
"Ecuador","30 298","0","1654","","0","Community transmission","1"
"Mexico","29 616","1982","2961","","257","Community transmission","0"
"Chile","25 972","1391","294","","9","Community transmission","0"
"Colombia","9456","497","407","","10","Community transmission","0"
"Dominican Republic","9376","281","380","","7","Community transmission","0"
"Panama","7868","137","225","","7","Community transmission","0"
"Argentina","5530","225","289","","14","Community transmission","0"
"Bolivia (Plurinational State of)","2081","195","102","","11","Clusters of cases","0"
"Cuba","1741","12","74","","1","Clusters of cases","0"
"Honduras","1685","224","105","","6","Community transmission","0"
"Guatemala","832","34","23","","2","Clusters of cases","0"
"Costa Rica","765","4","6","","0","Clusters of cases","0"
"El Salvador","742","47","15","","0","Clusters of cases","0"
"Uruguay","684","11","17","","0","Clusters of cases","0"
