"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","13522"
"Zhejiang","829"
"Guangdong","797"
"Henan","675"
"Hunan","593"
"Anhui","480"
"Jiangxi","476"
"Chongqing","337"
"Jiangsu","308"
"Sichuan","282"
"Shandong","270"
"Beijing","228"
"Shanghai","208"
"Fujian","194"
"Heilongjiang","155"
"Shaanxi","142"
"Guangxi","139"
"Hebei","126"
"Yunnan","117"
"Hainan","79"
"Liaoning","74"
"Shanxi","74"
"Tianjin","63"
"Gansu","56"
"Guizhou","56"
"Jilin","42"
"Inner Mongolia","37"
"Ningxia","34"
"Xinjiang","29"
"Hong Kong SAR","15"
"Qinghai","15"
"Taipei","10"
"Macao SAR","8"
"Xizang","1"
"","20471"
"Total",""
