"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Africa","","","","","",""
"South Africa","8895","663","178","17","Community transmission","0"
"Algeria","5369","187","488","5","Community transmission","0"
"Ghana","4012","921","18","0","Clusters of cases","0"
"Nigeria","3912","386","117","10","Community transmission","0"
"Cameroon","2265","0","108","0","Clusters of cases","3"
"Guinea","2009","82","11","0","Community transmission","0"
"Côte d’Ivoire","1602","31","20","0","Clusters of cases","0"
"Senegal","1551","59","13","0","Clusters of cases","0"
"Democratic Republic of the","","","","","",""
"Congo","937","40","39","3","Clusters of cases","0"
"Niger","795","14","44","2","Clusters of cases","0"
"Burkina Faso","736","0","48","0","Community transmission","1"
"Mali","668","18","35","3","Clusters of cases","0"
"Kenya","621","14","29","0","Clusters of cases","0"
"Gabon","620","116","8","0","Clusters of cases","0"
"United Republic of Tanzania","509","0","21","0","Clusters of cases","1"
"Guinea-Bissau","508","0","2","0","Sporadic cases","2"
"Equatorial Guinea","439","0","4","0","Clusters of cases","3"
"Mauritius","332","0","10","0","Community transmission","12"
"Congo","287","13","10","0","Clusters of cases","0"
"Rwanda","273","2","0","0","Clusters of cases","0"
"Chad","260","7","28","1","Sporadic cases","0"
