"V1","V2","V3","V4","V5"
"Egypt","1 (0)","0 (0)","Imported cases only","14"
"Region of the Americas","","","",""
"United States of America","59 (0)","0 (0)","Local transmission","2"
"Canada","11 (0)","0 (0)","Imported cases only","2"
"Brazil","1 (0)","0 (0)","Imported cases only","2"
"African Region","","","",""
"Algeria","1 (0)","0 (0)","Imported cases only","3"
"Nigeria","1 (1)","0 (0)","Imported cases only","0"
"Subtotal for all regions","3986 (1027)","63 (10)","",""
"International conveyance","","","","2"
"","705 (0)","4 (0)","Local transmission",""
"(Diamond Princess) ‡","","","",""
"Grand total§","4691 (1027)","67 (10)","",""
