"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Australia","7 267","2","102","0","Clusters of cases","0"
"New Zealand","1 154","0","22","0","Clusters of cases","19"
"Viet Nam","332","0","0","0","Clusters of cases","1"
"Mongolia","194","0","0","0","Sporadic cases","1"
"Brunei Darussalam","141","0","2","0","Clusters of cases","33"
"Cambodia","126","0","0","0","Sporadic cases","3"
"Lao People's Democratic Republic","19","0","0","0","Sporadic cases","58"
"Fiji","18","0","0","0","Sporadic cases","50"
"Papua New Guinea","8","0","0","0","Sporadic cases","48"
"Territoriesii","","","","","",""
"Guam","172","1","5","0","Clusters of cases","0"
"","60","0","0","0","Sporadic cases","35"
"French Polynesia","","","","","",""
"Northern Mariana Islands","30","2","2","0","Pending","0"
"(Commonwealth of the)","","","","","",""
"New Caledonia","21","1","0","0","Sporadic cases","0"
"Subtotal for all regions","7 144 798","105 621","408 012","3 629","",""
"Other*","741","0","13","0","Not applicable","-"
"Grand total","7 145 539","105 621","408 025","3 629","",""
