"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Morocco","5711","163","186","3","Clusters of cases","0"
"Bahrain","4444","245","8","0","Clusters of cases","0"
"Afghanistan","3563","0","105","0","Clusters of cases","1"
"Oman","3224","112","17","2","Clusters of cases","0"
"Iraq","2603","60","104","2","Clusters of cases","0"
"Djibouti","1135","2","3","0","Clusters of cases","0"
"Sudan","1111","181","59","7","Sporadic cases","0"
"Tunisia","1030","4","45","1","Community transmission","0"
"Somalia","928","0","44","0","Sporadic cases","1"
"Lebanon","796","12","26","1","Clusters of cases","0"
"Jordan","508","14","9","0","Clusters of cases","0"
"Libya","64","0","3","0","Clusters of cases","2"
"Syrian Arab Republic","47","2","3","0","Community transmission","0"
"Yemen","36","10","8","2","Pending","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","547","0","4","0","Clusters of cases","1"
"Europe","","","","","",""
"Spain","222 857","1410","26 251","181","Community transmission","0"
"Italy","217 185","1327","30 201","243","Community transmission","0"
"The United Kingdom","211 368","4649","31 241","626","Community transmission","0"
"Russian Federation","198 676","10 817","1827","104","Clusters of cases","0"
"Germany","168 551","1251","7369","103","Community transmission","0"
"France","136 578","598","26 188","242","Community transmission","0"
"Turkey","135 569","1848","3689","48","Community transmission","0"
