"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Sierra Leone","136","12","","8","1","Clusters of cases","0"
"Madagascar","135","3","","0","0","Clusters of cases","0"
"Ethiopia","133","2","","3","0","Clusters of cases","0"
"Togo","123","7","","9","0","Clusters of cases","0"
"Cabo Verde","121","0","","1","0","Sporadic cases","1"
"Zambia","109","3","","3","0","Sporadic cases","0"
"Eswatini","106","6","","1","0","Sporadic cases","0"
"Benin","90","6","","2","0","Sporadic cases","0"
"Uganda","83","2","","0","0","Sporadic cases","0"
"Mozambique","79","3","","0","0","Sporadic cases","0"
"Chad","73","0","","5","2","Sporadic cases","1"
"Central African Republic","64","0","","0","0","Sporadic cases","1"
"South Sudan","45","10","","0","0","Sporadic cases","0"
"Eritrea","39","0","","0","0","Sporadic cases","13"
"Malawi","37","0","","3","0","Sporadic cases","1"
"Zimbabwe","34","2","","4","0","Sporadic cases","0"
"Angola","29","2","","2","0","Sporadic cases","0"
"Botswana","23","0","","1","0","Sporadic cases","3"
"Namibia","16","0","","0","0","Sporadic cases","26"
"São Tomé and Príncipe","16","0","","1","0","Sporadic cases","1"
"Burundi","15","0","","1","0","Sporadic cases","5"
"Gambia","12","0","","1","0","Sporadic cases","1"
"Seychelles","11","0","","0","0","Sporadic cases","25"
