"V1","V2","V3","V4","V5","V6","V7"
"Angola","19","0","2","0","Sporadic cases","6"
"Zimbabwe","18","1","3","0","Sporadic cases","0"
"Malawi","16","0","2","0","Sporadic cases","1"
"Namibia","16","0","0","0","Sporadic cases","9"
"Eswatini","15","1","0","0","Sporadic cases","0"
"Botswana","13","0","1","0","Sporadic cases","5"
"Central African","11","0","0","0","Sporadic cases","4"
"Republic","","","","","",""
"Seychelles","11","0","0","0","Sporadic cases","8"
"Sierra Leone","11","1","0","0","Sporadic cases","0"
"Cabo Verde","10","0","1","0","Sporadic cases","1"
"Gambia","9","0","1","0","Sporadic cases","3"
"Mauritania","7","0","1","0","Sporadic cases","4"
"Burundi","5","0","0","0","Sporadic cases","2"
"São Tomé and","4","0","0","0","Pending","8"
"Príncipe","","","","","",""
"South Sudan","4","0","0","0","Pending","3"
"Territories**","","","","","",""
"Réunion","391","0","0","0","Clusters of cases","1"
"Mayotte","217","10","3","0","Clusters of cases","0"
"Subtotal for all","","","","","",""
"","1914204","70082","122998","5989","",""
"Regions","","","","","",""
"International","","","","","",""
"conveyance (Diamond","712","0","12","0","Not Applicable††","30"
"Princess)","","","","","",""
"Grand total","1914916","70082","123010","5989","",""
