"V1","V2","V3","V4","V5","V6"
"Eastern Mediterranean Region","","","","",""
"Iran (Islamic","","","","",""
"978","385","54","11","Local transmission","0"
"Republic of)","","","","",""
"Kuwait 56","11","0","0","Imported cases only","0"
"Bahrain 47","7","0","0","Imported cases only","0"
"United Arab","","","","",""
"21","2","0","0","Local transmission","0"
"Emirates","","","","",""
"Iraq 19","6","0","0","Imported cases only","0"
"Lebanon 10§§","1","0","0","Imported cases only","0"
"Oman 6","0","0","0","Imported cases only","3"
"Pakistan 4","0","0","0","Imported cases only","1"
"Qatar 3","2","0","0","Imported cases only","0"
"Egypt 2","1","0","0","Imported cases only","0"
"Afghanistan 1","0","0","0","Imported cases only","7"
"Region of the Americas","","","","",""
"the United States  62","0","0","0","Local transmission","2"
"Canada 19","0","0","0","Local transmission","1"
"Mexico 5","3","0","0","Imported cases only","0"
"Brazil 2","0","0","0","Imported cases only","1"
"Dominican Republic 1","1","0","0","Imported cases only","0"
"Ecuador 1","0","0","0","Imported cases only","1"
"African Region","","","","",""
"Algeria 1","0","0","0","Imported cases only","6"
"Nigeria 1","0","0","0","Imported cases only","3"
"Subtotal for all","","","","",""
"8068","1597","122","24","",""
"regions","","","","",""
"International","","","","",""
"conveyance 706","1","6","0","Local transmission","0"
"(Diamond Princess) ‡","","","","",""
"Grand total§ 8774","1598","128","24","",""
