"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"erritoriesii","","","","","",""
"Kosovo[1]","862","1","28","1","Community transmission","0"
"Isle of Man","329","2","23","0","Pending","0"
"Jersey","293","0","25","0","Pending","3"
"Guernsey","252","0","13","0","Community transmission","6"
"Faroe Islands","187","0","0","0","Pending","15"
"Gibraltar","144","0","0","0","Clusters of cases","7"
"Greenland","11","0","0","0","Pending","33"
"South-East Asia","","","","","",""
"India","59 662","3320","1981","95","Clusters of cases","0"
"Bangladesh","13 134","709","206","20","Clusters of cases","0"
"Indonesia","13 112","336","943","13","Community transmission","0"
"Thailand","3004","4","56","1","Clusters of cases","0"
"Sri Lanka","835","38","9","0","Clusters of cases","0"
"Maldives","744","96","3","0","Clusters of cases","0"
"Myanmar","177","1","6","0","Clusters of cases","0"
"Nepal","109","10","0","0","Sporadic cases","0"
"Timor-Leste","24","0","0","0","Clusters of cases","15"
"Bhutan","7","0","0","0","Sporadic cases","16"
"Western Pacific","","","","","",""
"China","84 416","1","4643","0","Clusters of cases","0"
"Singapore","21 707","768","20","0","Clusters of cases","0"
"Japan","15 628","81","601","44","Clusters of cases","0"
"Republic of Korea","10 840","18","256","0","Clusters of cases","0"
