"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","9074"
"Zhejiang","661"
"Guangdong","604"
"Henan","493"
"Hunan","463"
"Anhui","340"
"Jiangxi","333"
"Chongqing","262"
"Sichuan","236"
"Jiangsu","231"
"Shandong","225"
"Beijing","183"
"Shanghai","177"
"Fujian","159"
"Shaanxi","116"
"Guangxi","111"
"Hebei","104"
"Yunnan","99"
"Heilongjiang","95"
"Liaoning","64"
"Hainan","63"
"Shanxi","56"
"Gansu","45"
"Tianjin","40"
"Guizhou","38"
"Ningxia","28"
"Inner Mongolia","26"
"Xinjiang","23"
"Jilin","21"
"Hong Kong SAR","14"
"Taipei","10"
"Qinghai","9"
"Macau SAR","7"
"Xizang","1"
"Total","14411"
