"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","New","","","",""
"Reporting Country/","","","","Total","New","Transmission","Days since last"
"Territory/Area  †","confirmed‡","","confirmed","deaths","deaths","classification§","reported case"
"","cases","","cases","","","",""
"Western Pacific Region","","","","","","",""
"China","84373","","4","4643","0","Clusters of cases","0"
"Singapore","15641","","690","14","0","Clusters of cases","0"
"Japan","14088","","236","415","26","Clusters of cases","0"
"Republic of Korea","10765","","4","247","1","Clusters of cases","0"
"Philippines","8212","","254","558","28","Clusters of cases","0"
"Australia","6746","","8","90","2","Clusters of cases","0"
"Malaysia","5945","","94","100","0","Clusters of cases","0"
"New Zealand","1129","","3","19","0","Clusters of cases","0"
"Viet Nam","270","","0","0","0","Clusters of cases","5"
"Brunei Darussalam","138","","0","1","0","Sporadic cases","10"
"Cambodia","122","","0","0","0","Sporadic cases","18"
"Mongolia","38","","0","0","0","Sporadic cases","3"
"Lao People's","19","","0","0","0","Sporadic cases","17"
"Democratic Republic","","","","","","",""
"Fiji","18","","0","0","0","Sporadic cases","9"
"Papua New Guinea","8","","0","0","0","Sporadic cases","7"
"Territories**","","","","","","",""
"Guam","141","","1","5","0","Clusters of cases","0"
"French Polynesia","58","","0","0","0","Sporadic cases","2"
"New Caledonia","18","","0","0","0","Sporadic cases","27"
"Northern Mariana","14","","0","2","0","Pending","12"
"Islands","","","","","","",""
"(Commonwealth of","","","","","","",""
"the)","","","","","","",""
"European Region","","","","","","",""
"Spain","212917","","2144","24275","453","Community","0"
"","","","","","","transmission",""
"Italy","203591","","2086","27682","323","Community","0"
"","","","","","","transmission",""
"The United Kingdom","165225","","4076","26097","4419","Community","0"
"","","","","","","transmission",""
"Germany","159119","","1478","6288","173","Community","0"
"","","","","","","transmission",""
"France","127066","","1602","24054","427","Community","0"
"","","","","","","transmission",""
"Turkey","117589","","2936","3081","89","Community","0"
"","","","","","","transmission",""
"Russian Federation","106498","","7099","1073","101","Clusters of cases","0"
"Belgium","47859","","525","7501","170","Community","0"
"","","","","","","transmission",""
"Netherlands","38802","","386","4711","145","Community","0"
"","","","","","","transmission",""
