"V1","V2","V3","V4"
"Date reported","Hubei Province","China","Proportion from Hubei"
"1 February 2020","1347","2101","64%"
"31 January 2020","1220","1984","61%"
"30 January 2020","1032","1739","59%"
"29 January 2020","840","1460","58%"
"28 January 2020","1291","1796","72%"
"27 January 2020","371","756","49%"
"26 January 2020","323","688","47%"
