"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","29631"
"Guangdong","1151"
"Zhejiang","1104"
"Henan","1073"
"Hunan","879"
"Anhui","830"
"Jiangxi","771"
"Jiangsu","492"
"Chongqing","468"
"Shandong","459"
"Sichuan","405"
"Beijing","337"
"Heilongjiang","331"
"Shanghai","295"
"Fujian","261"
"Hebei","218"
"Shaanxi","213"
"Guangxi","210"
"Yunnan","141"
"Hainan","136"
"Shanxi","119"
"Guizhou","109"
"Liaoning","107"
"Tianjin","91"
"Gansu","85"
"Jilin","80"
"Inner Mongolia","58"
"Ningxia","49"
"Xinjiang","49"
"Hong Kong SAR","36"
"Qinghai","18"
"Taipei and environs","18"
"Macao SAR","10"
"Xizang","1"
"Total","40 235"
