"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","11177"
"Zhejiang","724"
"Guangdong","683"
"Henan","566"
"Hunan","521"
"Anhui","408"
"Jiangxi","391"
"Chongqing","300"
"Jiangsu","271"
"Sichuan","254"
"Shandong","246"
"Beijing","212"
"Shanghai","193"
"Fujian","179"
"Shaanxi","128"
"Guangxi","127"
"Heilongjiang","118"
"Hebei","113"
"Yunnan","109"
"Liaoning","70"
"Hainan","70"
"Shanxi","66"
"Gansu","51"
"Tianjin","49"
"Guizhou","46"
"Inner Mongolia","33"
"Jilin","31"
"Ningxia","31"
"Xinjiang","24"
"Hong Kong Sar","15"
"Qinghai","13"
"Taipei","10"
"Macao Sar","8"
"Xizang","1"
"","17238"
"Total",""
