"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Philippines","10 463","120","696","11","Clusters of cases","0"
"Australia","6914","18","97","0","Clusters of cases","0"
"Malaysia","6535","68","107","0","Clusters of cases","0"
"New Zealand","1142","1","21","0","Clusters of cases","0"
"Viet Nam","288","0","0","0","Clusters of cases","1"
"Brunei Darussalam","141","0","1","0","Sporadic cases","1"
"Cambodia","122","0","0","0","Sporadic cases","27"
"Mongolia","42","1","0","0","Sporadic cases","0"
"Lao People's Democratic","","","","","",""
"Republic","19","0","0","0","Sporadic cases","26"
"Fiji","18","0","0","0","Sporadic cases","18"
"Papua New Guinea","8","0","0","0","Sporadic cases","16"
"Territoriesii","","","","","",""
"Guam","147","0","5","0","Clusters of cases","2"
"French Polynesia","60","0","0","0","Sporadic cases","3"
"New Caledonia","18","0","0","0","Sporadic cases","36"
"Northern Mariana Islands","","","","","",""
"(Commonwealth of the)","15","0","2","0","Pending","2"
"Subtotal for all regions","3 855 076","95 845","265 849","6388","",""
"Other*","712","0","13","0","-","54"
"Grand total","","","","","",""
"","3 855 788","95 845","265 862","6388","",""
