"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","27 100"
"Guangdong","1120"
"Zhejiang","1075"
"Henan","1033"
"Hunan","838"
"Anhui","779"
"Jiangxi","740"
"Jiangsu","468"
"Chongqing","446"
"Shandong","435"
"Sichuan","386"
"Beijing","326"
"Heilongjiang","307"
"Shanghai","292"
"Fujian","250"
"Shaanxi","208"
"Hebei","206"
"Guangxi","195"
"Yunnan","140"
"Hainan","128"
"Shanxi","115"
"Liaoning","105"
"Guizhou","96"
"Tianjin","88"
"Gansu","81"
"Jilin","78"
"Inner Mongolia","54"
"Ningxia","45"
"Xinjiang","45"
"Hong Kong SAR","26"
"Qinghai","18"
"Taipei and environs","17"
"Macao SAR","10"
"Xizang","1"
"Total","37 251"
