"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Mauritania","8","0","1","","0","Sporadic cases","1"
"Comoros","1","0","0","","0","Pending","1"
"Territoriesii","","","","","","",""
"Mayotte","539","0","4","","0","Clusters of cases","1"
"Réunion","420","0","0","","0","Clusters of cases","2"
"Americas","","","","","","",""
"United States of America","1067127","31774","57406","","2069","Community transmission","0"
"Brazil","85380","7218","5901","","435","Community transmission","0"
"Canada","53657","1601","3223","","141","Community transmission","0"
"Peru","36976","3045","1051","","108","Community transmission","0"
"Ecuador","26336","1402","1063","","163","Community transmission","0"
"Mexico","19224","1425","1859","","127","Community transmission","0"
"Chile","17008","985","234","","7","Community transmission","0"
"Dominican Republic","7288","316","313","","12","Community transmission","0"
"Panama","6532","154","188","","10","Community transmission","0"
"Colombia","6507","296","293","","15","Community transmission","0"
"Argentina","4476","172","220","","5","Community transmission","0"
"Cuba","1537","36","64","","3","Clusters of cases","0"
"Bolivia (Plurinational State of)","1167","57","62","","3","Clusters of cases","0"
"Honduras","804","33","75","","4","Clusters of cases","0"
"Costa Rica","719","6","6","","0","Clusters of cases","0"
"Uruguay","643","13","17","","2","Clusters of cases","0"
"Guatemala","599","14","16","","0","Clusters of cases","0"
"El Salvador","424","29","10","","1","Clusters of cases","0"
