"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Bermuda","141","0","9","0","Clusters of cases","7"
"Aruba","101","0","3","0","No cases","35"
"Sint Maarten","77","0","15","0","Sporadic cases","4"
"United States Virgin Islands","71","0","6","0","Clusters of cases","5"
"Saint Martin","41","0","3","0","Sporadic cases","10"
"Curacao","21","0","1","0","Sporadic cases","5"
"Falkland Islands (Malvinas)","13","0","0","0","Clusters of cases","45"
"Turks and Caicos Islands","12","0","1","0","Sporadic cases","43"
"Montserrat","11","0","1","0","Sporadic cases","57"
"British Virgin Islands","8","0","1","0","Sporadic cases","25"
"Bonaire, Sint Eustatius and Saba","7","0","0","0","No cases","15"
"Saint Barthélemy","6","0","0","0","Sporadic cases","71"
"Anguilla","3","0","0","0","Sporadic cases","67"
"Saint Pierre and Miquelon","1","0","0","0","Sporadic cases","63"
"Eastern Mediterranean","","","","","",""
"Iran (Islamic Republic of)","175 927","2 095","8 425","74","Community transmission","0"
"Pakistan","113 702","5 385","2 255","83","Clusters of cases","0"
"Saudi Arabia","108 571","3 288","783","37","Clusters of cases","0"
"Qatar","71 879","1 721","62","5","Community transmission","0"
"United Arab Emirates","39 904","528","283","2","Pending","0"
"Egypt","36 829","1 385","1 306","35","Clusters of cases","0"
"Kuwait","33 140","630","273","4","Clusters of cases","0"
"Afghanistan","22 142","920","405","29","Clusters of cases","0"
"Oman","18 198","712","83","2","Clusters of cases","0"
