"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Madagascar","132","4","","0","0","Clusters of cases","0"
"Ethiopia","131","1","","3","0","Clusters of cases","0"
"Sierra Leone","124","8","","7","2","Clusters of cases","0"
"Cabo Verde","121","8","","1","0","Sporadic cases","0"
"Togo","116","7","","9","2","Clusters of cases","0"
"Zambia","106","9","","3","0","Sporadic cases","0"
"Eswatini","100","9","","1","0","Sporadic cases","0"
"Benin","84","15","","2","0","Sporadic cases","0"
"Uganda","81","2","","0","0","Sporadic cases","0"
"Mozambique","76","0","","0","0","Sporadic cases","4"
"Chad","73","21","","3","1","Sporadic cases","0"
"Central African Republic","64","14","","0","0","Sporadic cases","0"
"Eritrea","39","0","","0","0","Sporadic cases","12"
"Malawi","37","1","","3","0","Sporadic cases","0"
"South Sudan","35","1","","0","0","Sporadic cases","0"
"Zimbabwe","32","0","","4","0","Sporadic cases","2"
"Angola","27","0","","2","0","Sporadic cases","3"
"Botswana","23","0","","1","0","Sporadic cases","2"
"Namibia","16","0","","0","0","Sporadic cases","25"
"São Tomé and Príncipe","16","5","","1","1","Sporadic cases","0"
"Burundi","15","0","","1","0","Sporadic cases","4"
"Gambia","12","1","","1","0","Sporadic cases","0"
"Seychelles","11","0","","0","0","Sporadic cases","24"
