"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Comoros","11","0","1","0","Community transmission","6"
"Seychelles","11","0","0","0","Clusters of cases","39"
"Lesotho","1","0","0","0","Pending","2"
"Territoriesii","","","","","",""
"Mayotte","1 258","48","16","0","Clusters of cases","0"
"Réunion","441","1","0","0","Clusters of cases","0"
"Americas","","","","","",""
"United States of America","1 382 362","20 840","83 819","1 700","Community transmission","0"
"Brazil","202 918","13 944","13 993","844","Community transmission","0"
"Peru","80 604","4 298","2 267","98","Community transmission","0"
"Canada","73 829","1 293","5 499","162","Community transmission","0"
"Mexico","42 595","2 409","4 477","257","Community transmission","0"
"Chile","37 040","0","368","0","Community transmission","1"
"Ecuador","30 502","0","2 338","0","Community transmission","1"
"Colombia","13 610","680","525","16","Community transmission","0"
"Dominican Republic","11 739","419","424","2","Community transmission","0"
"Panama","9 118","174","260","4","Community transmission","0"
"Argentina","7 134","161","353","8","Community transmission","0"
"Bolivia (Plurinational State of)","3 372","224","152","10","Clusters of cases","0"
"Honduras","2 318","63","133","10","Community transmission","0"
"Cuba","1 840","10","79","0","Clusters of cases","0"
"Guatemala","1 518","176","29","0","Clusters of cases","0"
"El Salvador","1 210","98","23","3","Clusters of cases","0"
"Costa Rica","830","15","8","1","Clusters of cases","0"
