"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Sierra Leone","257","26","17","3","Clusters of cases","0"
"Benin","242","102","2","0","Sporadic cases","0"
"Cabo Verde","230","12","2","0","Sporadic cases","0"
"São Tomé and Príncipe","208","43","5","1","Sporadic cases","0"
"Liberia","199","10","20","0","Clusters of cases","0"
"Ethiopia","194","3","4","0","Clusters of cases","0"
"Madagascar","169","0","0","0","Clusters of cases","2"
"Zambia","167","14","4","0","Sporadic cases","0"
"Eswatini","159","6","2","0","Sporadic cases","0"
"Togo","145","10","10","1","Clusters of cases","0"
"South Sudan","120","30","0","0","Sporadic cases","0"
"Uganda","101","0","0","0","Sporadic cases","1"
"Central African Republic","94","0","0","0","Sporadic cases","4"
"Mozambique","82","1","0","0","Sporadic cases","0"
"Malawi","43","0","3","0","Sporadic cases","2"
"Eritrea","39","0","0","0","Sporadic cases","20"
"Angola","36","0","2","0","Sporadic cases","3"
"Zimbabwe","34","0","4","0","Sporadic cases","7"
"Botswana","23","0","1","0","Sporadic cases","10"
"Gambia","20","2","1","0","Sporadic cases","0"
"Burundi","19","0","1","0","Sporadic cases","6"
"Namibia","16","0","0","0","Sporadic cases","33"
"Seychelles","11","0","0","0","Sporadic cases","32"
