"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","118","0","7","","0","Clusters of cases","1"
"Aruba","101","0","3","","1","Sporadic cases","3"
"Cayman Islands","80","2","1","","0","Clusters of cases","0"
"Sint Maarten","76","0","14","","0","Sporadic cases","8"
"United States Virgin Islands","68","2","4","","0","Clusters of cases","0"
"Saint Martin","38","0","3","","0","Sporadic cases","16"
"Curaçao","16","0","1","","0","Sporadic cases","11"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","13"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","11"
"Montserrat","11","0","1","","0","Sporadic cases","25"
"British Virgin Islands","7","0","1","","0","Sporadic cases","3"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","11"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","39"
"Anguilla","3","0","0","","0","Sporadic cases","35"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","31"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","104 691","1556","6541","","55","Community transmission","0"
"Saudi Arabia","35 432","1701","229","","10","Clusters of cases","0"
"Pakistan","27 474","1637","618","","24","Clusters of cases","0"
"Qatar","20 201","1311","12","","0","Community transmission","0"
"United Arab Emirates","16 793","553","174","","9","Pending","0"
"Egypt","8476","495","503","","21","Clusters of cases","0"
"Kuwait","7208","641","47","","3","Clusters of cases","0"
