"V1","V2"
"Province/Region/City","Confirmed Cases"
"Hubei","16678"
"Zhejiang","895"
"Guangdong","870"
"Henan","764"
"Hunan","661"
"Anhui","530"
"Jiangxi","548"
"Chongqing","366"
"Jiangsu","341"
"Sichuan","301"
"Shandong","298"
"Beijing","253"
"Shanghai","233"
"Fujian","205"
"Heilongjiang","190"
"Shaanxi","165"
"Guangxi","150"
"Hebei","135"
"Yunnan","122"
"Hainan","89"
"Liaoning","81"
"Shanxi","81"
"Tianjin","67"
"Gansu","57"
"Guizhou","64"
"Jilin","54"
"Inner Mongolia","42"
"Ningxia","34"
"Xinjiang","32"
"Hong Kong SAR","18"
"Qinghai","17"
"Taipei and environs","11"
"Macao SAR","10"
"Xizang","1"
"Total","24363"
