"V1","V2","V3","V4","V5","V6","V7","V8"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","","classificationi","reported case"
"Bermuda","114","3","6","","0","Clusters of cases","0"
"Aruba","100","0","2","","0","Clusters of cases","9"
"Sint Maarten","76","0","13","","0","Clusters of cases","1"
"Cayman Islands","73","0","1","","0","Clusters of cases","2"
"United States Virgin Islands","66","0","4","","0","Clusters of cases","1"
"Saint Martin","38","0","3","","0","Sporadic cases","9"
"Curaçao","16","0","1","","0","Sporadic cases","4"
"Falkland Islands (Malvinas)","13","0","0","","0","Clusters of cases","6"
"Turks and Caicos Islands","12","0","1","","0","Sporadic cases","4"
"Montserrat","11","0","1","","0","Sporadic cases","18"
"Bonaire, Sint Eustatius and","","","","","","",""
"Saba","6","0","0","","0","Sporadic cases","4"
"British Virgin Islands","6","0","1","","0","Sporadic cases","6"
"Saint Barthélemy","6","0","0","","0","Sporadic cases","32"
"Anguilla","3","0","0","","0","Sporadic cases","28"
"Saint Pierre and Miquelon","1","0","0","","0","Sporadic cases","24"
"Eastern Mediterranean","","","","","","",""
"Iran (Islamic Republic of)","95646","1006","6091","","63","Community transmission","0"
"Saudi Arabia","24097","1344","169","","7","Clusters of cases","0"
"Pakistan","18114","1297","417","","32","Clusters of cases","0"
"Qatar","14096","687","12","","2","Pending","0"
"United Arab Emirates","13038","557","111","","6","Pending","0"
"Egypt","5895","358","406","","14","Clusters of cases","0"
"Morocco","4569","146","171","","1","Clusters of cases","0"
