"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Belgium","52 011","591","8521","106","Community transmission","0"
"Netherlands","42 093","319","5359","71","Community transmission","0"
"Switzerland","30 168","125","1531","14","Community transmission","0"
"Portugal","27 268","553","1114","9","Community transmission","0"
"Sweden","25 265","642","3175","135","Community transmission","0"
"Ireland","22 541","156","1429","26","Community transmission","0"
"Belarus","21 101","933","121","5","Clusters of cases","0"
"Israel","16 444","98","245","6","Pending","0"
"Austria","15 735","62","614","5","Community transmission","0"
"Poland","15 366","319","776","21","Community transmission","0"
"Romania","14 811","312","898","22","Community transmission","0"
"Ukraine","14 710","515","376","15","Community transmission","0"
"Denmark","10 218","135","522","8","Pending","0"
"Serbia","9943","95","209","3","Pending","0"
"Czechia","8077","46","273","3","Community transmission","0"
"Norway","8034","39","213","4","Pending","0"
"Finland","5738","65","260","5","Pending","0"
"Kazakhstan","4922","344","31","1","Pending","0"
"Republic of Moldova","4728","123","159","14","Pending","0"
"Luxembourg","3871","12","100","0","Pending","0"
"Hungary","3213","35","405","13","Clusters of cases","0"
"Armenia","3175","146","44","1","Clusters of cases","0"
"Greece","2691","13","150","2","Community transmission","0"
"Uzbekistan","2336","22","10","0","Clusters of cases","0"
