"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"Territory/Area","cases","new cases","","","classificationi","reported case"
"Azerbaijan","2279","75","28","0","Clusters of cases","0"
"Croatia","2161","36","86","0","Community transmission","0"
"Bosnia and Herzegovina","2070","43","97","8","Community transmission","0"
"Bulgaria","1911","82","88","4","Clusters of cases","0"
"Iceland","1801","0","10","0","Community transmission","1"
"Estonia","1725","5","56","0","Pending","0"
"North Macedonia","1586","14","90","1","Clusters of cases","0"
"Slovakia","1455","10","26","0","Clusters of cases","0"
"Slovenia","1450","1","100","1","Community transmission","0"
"Lithuania","1436","3","49","0","Community transmission","0"
"Kyrgyzstan","931","25","12","0","Clusters of cases","0"
"Latvia","928","19","18","0","Community transmission","0"
"Cyprus","891","2","21","0","Clusters of cases","0"
"Albania","856","6","31","0","Clusters of cases","0"
"Andorra","754","2","47","0","Community transmission","0"
"San Marino","632","0","41","0","Community transmission","1"
"Georgia","626","3","10","1","Community transmission","0"
"Tajikistan","522","61","18","2","Pending","0"
"Malta","489","3","5","0","Pending","0"
"Montenegro","324","0","8","0","Clusters of cases","3"
"Monaco","95","0","1","0","Sporadic cases","5"
"Liechtenstein","83","0","1","0","Pending","13"
"Holy See","12","0","0","0","Sporadic cases","2"
