"V1","V2","V3","V4","V5","V6","V7","V8"
"","Total","","New","","","",""
"Reporting Country/","confirmed  ‡","","confirmed","Total","New","Transmission","Days since last"
"Territory/Area†","cases","","cases","deaths","deaths","classification§","reported case"
"Western Pacific Region","","","","","","",""
"China","84369","","22","4643","0","Clusters of cases","0"
"Singapore","14951","","528","14","0","Clusters of cases","0"
"Japan","13852","","276","389","13","Clusters of cases","0"
"Republic of Korea","10761","","9","246","2","Clusters of cases","0"
"Philippines","7958","","181","530","19","Clusters of cases","0"
"Australia","6738","","13","88","4","Clusters of cases","0"
"Malaysia","5851","","31","100","1","Clusters of cases","0"
"New Zealand","1126","","2","19","0","Clusters of cases","0"
"Viet Nam","270","","0","0","0","Clusters of cases","4"
"Brunei Darussalam","138","","0","1","0","Sporadic cases","9"
"Cambodia","122","","0","0","0","Sporadic cases","17"
"Mongolia","38","","0","0","0","Sporadic cases","2"
"Lao People's","","","","","","",""
"Democratic Republic","19","","0","0","0","Sporadic cases","16"
"Fiji","18","","0","0","0","Sporadic cases","8"
"Papua New Guinea","8","","0","0","0","Sporadic cases","6"
"Territories**","","","","","","",""
"Guam","140","","2","5","0","Clusters of cases","0"
"French Polynesia","58","","0","0","0","Sporadic cases","1"
"New Caledonia","18","","0","0","0","Sporadic cases","26"
"Northern Mariana","","","","","","",""
"Islands","","","","","","",""
"(Commonwealth of","","","","","","",""
"the)","14","","0","2","0","Pending","11"
"European Region","","","","","","",""
"Spain","210773","","1308","23822","632","Pending","0"
"","","","","","","Community",""
"Italy","201505","","2091","27359","382","transmission","0"
"","","","","","","Community",""
"The United Kingdom","161149","","3996","21678","586","transmission","0"
"","","","","","","Community",""
"Germany","157641","","1304","6115","202","transmission","0"
"","","","","","","Community",""
"France","125464","","0","23627","366","transmission","0"
"","","","","","","Community",""
"Turkey","114653","","2392","2992","92","transmission","0"
"Russian Federation","99399","","5841","972","105","Clusters of cases","0"
"","","","","","","Community",""
"Belgium","47334","","647","7331","124","transmission","0"
"","","","","","","Community",""
"Netherlands","38416","","171","4566","48","transmission","0"
