"V1","V2","V3","V4","V5","V6","V7"
"Reporting Country/ Territory/Area","Total confirmed","Total confirmed","Total deaths","Total new deaths","Transmission","Days since last"
"","cases","new cases","","","classificationi","reported case"
"Bahrain","16 200","783","29","2","Clusters of cases","0"
"Iraq","14 268","787","392","22","Clusters of cases","0"
"Morocco","8 437","135","210","2","Clusters of cases","0"
"Sudan","6 427","183","389","17","Community transmission","0"
"Djibouti","4 331","53","34","3","Clusters of cases","0"
"Somalia","2 416","48","85","1","Sporadic cases","0"
"Lebanon","1 368","18","30","0","Clusters of cases","0"
"Tunisia","1 087","0","49","0","Community transmission","6"
"Jordan","845","14","9","0","Clusters of cases","0"
"Yemen","528","28","128","15","Pending","0"
"Libya","332","0","5","0","Clusters of cases","1"
"Syrian Arab Republic","146","2","6","0","Community transmission","0"
"Territoriesii","","","","","",""
"occupied Palestinian territory","661","9","5","0","Clusters of cases","0"
"Europe","","","","","",""
"Russian Federation","493 657","8 404","6 358","216","Clusters of cases","0"
"The United Kingdom","289 144","1 741","40 883","286","Community transmission","0"
"Spain","241 966","249","27 136","0","Community transmission","0"
"Italy","235 561","283","34 043","79","Community transmission","0"
"Germany","184 861","318","8 729","18","Community transmission","0"
"Turkey","172 114","993","4 729","18","Community transmission","0"
"France","150 748","335","29 234","85","Community transmission","0"
"Belgium","59 437","89","9 619","10","Community transmission","0"
"Belarus","50 265","812","282","6","Community transmission","0"
